name,field,year_birth,year_prize,year_research_mid,year_death,TheoryOrTheoryAndEmpirical,age_highdegree,Age of discovery,delay,,,,Age of discovery,,Age of last degree,,,,,,,
"Heeger, Alan",Chemistry,1936,2000,1977,,0,25,41,23,,,,mean,stddev,mean,stddev,,,,,,
"MacDiarmid, Alan",Chemistry,1927,2000,1977,,0,26,50,23,,,,42.31884058,10.66121717,26.76811594,2.76078062,,,,,,
"Shirakawa, Hideki",Chemistry,1936,2000,1977,,0,30,41,23,,,,,,,,,,chem,med,phys,mean
"Knowles, William",Chemistry,1917,2001,1968,,0,25,51,33,,,,Yrs of delay,,Avg winners / yr,,,2000,3,3,3,3
"Noyori, Ryoji",Chemistry,1938,2001,1980,,0,29,42,21,,,,mean,stddev,2.555555556,,,2001,3,3,3,3
"Sharpless, Karl Barry",Chemistry,1941,2001,1980,,0,27,39,21,,,,23.2173913,11.98880552,,,,2002,3,3,3,3
"Fenn, John",Chemistry,1917,2002,1988,,1,23,71,14,,,,,,,,,2003,2,1,3,2
"Tanaka, Koichi",Chemistry,1959,2002,1986,,0,24,27,16,,,,,,,,,2004,3,2,3,2.666666667
"Wuthrich, Kurt",Chemistry,1938,2002,1979,,0,26,41,23,,,,,,,,,2005,3,2,3,2.666666667
"Agre, Peter",Chemistry,1949,2003,1991,,0,25,42,12,,,,,,,,,2006,1,2,2,1.666666667
"MacKinnon, Roderick",Chemistry,1956,2003,1998,,0,26,42,5,,,,,,,,,2007,1,3,2,2
"Ciechanover, Aaron",Chemistry,1947,2004,1983,,0,27,36,21,,,,,,,,,2008,3,3,3,3
"Hershko, Avram",Chemistry,1937,2004,1983,,0,28,46,21,,,,,,,,,2009,0,0,0,0
"Rose, Irwin",Chemistry,1926,2004,1983,,0,26,57,21,,,,,,,,,,,,,
"Chauvin, Yves",Chemistry,1930,2005,1971,,0,24,41,34,,,,,,,,,,,,,
"Grubbs, Robert H.",Chemistry,1942,2005,1992,,0,26,50,13,,,,,,,,,,,,,
"Schrock, Richard R.",Chemistry,1945,2005,1990,,0,26,45,15,,,,,,,,,,,,,
"Kornberg, Roger D.",Chemistry,1947,2006,2001,,0,25,54,5,,,,,,,,,,,,,
"Ertl, Gerhard",Chemistry,1936,2007,1974,,0,29,38,33,,,,,,,,,,,,,
"Chalfie, Martin",Chemistry,1947,2008,1994,,0,30,47,14,,,,,,,,,,,,,
"Shimomura, Osamu",Chemistry,1928,2008,1962,,0,32,34,46,,,,,,,,,,,,,
"Tsien, Roger Y.",Chemistry,1952,2008,1996,,0,25,44,12,,,,,,,,,,,,,
"Carlsson, Arvid",Medicine,1923,2000,1948,,0,28,25,52,,,,,,,,,,,,,
"Greengard, Paul",Medicine,1925,2000,1969,,0,28,44,31,,,,,,,,,,,,,
"Kandel, Eric R.",Medicine,1929,2000,1981,,0,27,52,19,,,,,,,,,,,,,
"Hartwell, Leland H.",Medicine,1939,2001,1970,,0,25,31,31,,,,,,,,,,,,,
"Hunt, R. Timothy",Medicine,1943,2001,1982,,0,25,39,19,,,,,,,,,,,,,
"Nurse, Sir Paul",Medicine,1949,2001,1981,,0,24,32,20,,,,,,,,,,,,,
"Brenner, Sydney",Medicine,1927,2002,1974,,0,27,47,28,,,,,,,,,,,,,
"Horvitz, H. Robert",Medicine,1947,2002,1986,,0,27,39,16,,,,,,,,,,,,,
"Sulston, John E.",Medicine,1942,2002,1976,,0,24,34,26,,,,,,,,,,,,,
"Lauterbur, Paul G.",Medicine,1929,2003,1973,,1,33,44,30,,,,,,,,,,,,,
"Axel, Richard",Medicine,1946,2004,1991,,0,24,45,13,,,,,,,,,,,,,
"Buck, Linda",Medicine,1947,2004,1991,,0,33,44,13,,,,,,,,,,,,,
"Marshall, Barry",Medicine,1951,2005,1984,,0,23,33,21,,,,,,,,,,,,,
"Warren, J. Robin",Medicine,1937,2005,1984,,0,24,47,21,,,,,,,,,,,,,
"Fire, Andrew",Medicine,1959,2006,1998,,0,24,39,8,,,,,,,,,,,,,
"Mello, Craig",Medicine,1960,2006,1998,,0,30,38,8,,,,,,,,,,,,,
"Capecchi, Mario",Medicine,1937,2007,1987,,0,30,50,20,,,,,,,,,,,,,
"Evans, Sir Martin",Medicine,1941,2007,1981,,0,28,40,26,,,,,,,,,,,,,
"Smithies, Oliver",Medicine,1925,2007,1985,,0,26,60,22,,,,,,,,,,,,,
"Barre-Sinoussi, Francoise",Medicine,1947,2008,1983,,0,28,36,25,,,,,,,,,,,,,
"Hausen, Harald zur",Medicine,1936,2008,1983,,0,24,47,25,,,,,,,,,,,,,
"Montagnier, Luc",Medicine,1932,2008,1983,,0,28,51,25,,,,,,,,,,,,,
"Alferov, Zhores I.",Physics,1930,2000,1966,,0,22,36,34,,,,,,,,,,,,,
"Kilby, Jack S.",Physics,1923,2000,1958,,0,35,35,42,,,,,,,,,,,,,
"Kroemer, Herbert",Physics,1928,2000,1960,,1,24,32,40,,,,,,,,,,,,,
"Cornell, Eric A.",Physics,1961,2001,1995,,0,29,34,6,,,,,,,,,,,,,
"Ketterle, Wolfgang",Physics,1957,2001,1995,,0,29,38,6,,,,,,,,,,,,,
"Wieman, Carl E.",Physics,1951,2001,1995,,0,26,44,6,,,,,,,,,,,,,
"Davis, Raymond Jr.",Physics,1914,2002,1994,,0,28,80,8,,,,,,,,,,,,,
"Giacconi, Riccardo",Physics,1931,2002,1969,,0,23,38,33,,,,,,,,,,,,,
"Koshiba, Masatoshi",Physics,1926,2002,1987,,0,29,61,15,,,,,,,,,,,,,
"Abrikosov, Alexei A.",Physics,1928,2003,1957,,1,23,29,46,,,,,,,,,,,,,
"Ginzburg, Vitaly L.",Physics,1916,2003,1950,,1,26,34,53,,,,,,,,,,,,,
"Leggett, Anthony J.",Physics,1938,2003,1972,,1,26,34,31,,,,,,,,,,,,,
"Gross, David J.",Physics,1941,2004,1973,,0,25,32,31,,,,,,,,,,,,,
"Politzer, H. David",Physics,1949,2004,1973,,0,25,24,31,,,,,,,,,,,,,
"Wilczek, Frank",Physics,1951,2004,1973,,0,23,22,31,,,,,,,,,,,,,
"Glauber, Roy J.",Physics,1925,2005,1963,,0,24,38,42,,,,,,,,,,,,,
"Hall, John L.",Physics,1934,2005,2000,,0,27,66,5,,,,,,,,,,,,,
"Hansch, Theodor W.",Physics,1941,2005,1999,,0,28,58,6,,,,,,,,,,,,,
"Mather, John C.",Physics,1946,2006,1990,,0,28,44,16,,,,,,,,,,,,,
"Smoot, George F.",Physics,1945,2006,1992,,0,25,47,14,,,,,,,,,,,,,
"Fert, Albert",Physics,1938,2007,1988,,0,32,50,19,,,,,,,,,,,,,
"Grunberg, Peter",Physics,1939,2007,1988,,0,30,49,19,,,,,,,,,,,,,
"Kobayashi, Makoto",Physics,1944,2008,1972,,0,28,28,36,,,,,,,,,,,,,
"Maskawa, Toshihide",Physics,1940,2008,1972,,0,27,32,36,,,,,,,,,,,,,
"Nambu, Yoichiro",Physics,1921,2008,1960,,0,31,39,48,,,,,,,,,,,,,
